Vendee — Cost Model (เปิดใน Google Sheets: File > Import > Upload > Replace current sheet)
แก้ค่าในคอลัมน์ B (ASSUMPTIONS) แล้วตารางด้านล่างจะคำนวณใหม่อัตโนมัติ
ASSUMPTIONS,ค่า,หน่วย
อัตราแลกเปลี่ยน (THB/USD),35,฿/$
ราคา Eco,100,฿/เดือน
ราคา Pro,200,฿/เดือน
ราคา Platinum,700,฿/เดือน
ต้นทุน AI ต่อ scan,0.13,฿
scans/เดือน Free,8,ครั้ง
scans/เดือน Eco,30,ครั้ง
scans/เดือน Pro,100,ครั้ง
scans/เดือน Platinum (ประมาณ heavy),400,ครั้ง
Beam fee,1.65,%
Vercel,20,$/เดือน
Supabase,25,$/เดือน
,,
Scenario,Free,Eco,Pro,Platinum,รายได้ ฿,AI cost ฿,Beam fee ฿,Infra ฿,ต้นทุนรวม ฿,กำไรสุทธิ ฿,Margin
ปัจจุบัน (8 free),8,0,0,0,=B$5*C18+B$6*D18+B$7*E18,=B$8*(B18*B$9+C18*B$10+D18*B$11+E18*B$12),=B$13/100*F18,=(B$14+B$15)*B$4,=G18+H18+I18,=F18-J18,"=IF(F18=0,"""",K18/F18)"
5 Eco,0,5,0,0,=B$5*C19+B$6*D19+B$7*E19,=B$8*(B19*B$9+C19*B$10+D19*B$11+E19*B$12),=B$13/100*F19,=(B$14+B$15)*B$4,=G19+H19+I19,=F19-J19,"=IF(F19=0,"""",K19/F19)"
20 Eco,0,20,0,0,=B$5*C20+B$6*D20+B$7*E20,=B$8*(B20*B$9+C20*B$10+D20*B$11+E20*B$12),=B$13/100*F20,=(B$14+B$15)*B$4,=G20+H20+I20,=F20-J20,"=IF(F20=0,"""",K20/F20)"
10 Pro,0,0,10,0,=B$5*C21+B$6*D21+B$7*E21,=B$8*(B21*B$9+C21*B$10+D21*B$11+E21*B$12),=B$13/100*F21,=(B$14+B$15)*B$4,=G21+H21+I21,=F21-J21,"=IF(F21=0,"""",K21/F21)"
Break-even ~17 Eco,0,17,0,0,=B$5*C22+B$6*D22+B$7*E22,=B$8*(B22*B$9+C22*B$10+D22*B$11+E22*B$12),=B$13/100*F22,=(B$14+B$15)*B$4,=G22+H22+I22,=F22-J22,"=IF(F22=0,"""",K22/F22)"
Break-even ~9 Pro,0,0,9,0,=B$5*C23+B$6*D23+B$7*E23,=B$8*(B23*B$9+C23*B$10+D23*B$11+E23*B$12),=B$13/100*F23,=(B$14+B$15)*B$4,=G23+H23+I23,=F23-J23,"=IF(F23=0,"""",K23/F23)"
Mixed 100F/30E/15P/3Plat,100,30,15,3,=B$5*C24+B$6*D24+B$7*E24,=B$8*(B24*B$9+C24*B$10+D24*B$11+E24*B$12),=B$13/100*F24,=(B$14+B$15)*B$4,=G24+H24+I24,=F24-J24,"=IF(F24=0,"""",K24/F24)"
Scale 50 Pro,0,0,50,0,=B$5*C25+B$6*D25+B$7*E25,=B$8*(B25*B$9+C25*B$10+D25*B$11+E25*B$12),=B$13/100*F25,=(B$14+B$15)*B$4,=G25+H25+I25,=F25-J25,"=IF(F25=0,"""",K25/F25)"
Scale 200F/80E/40P/10Plat,200,80,40,10,=B$5*C26+B$6*D26+B$7*E26,=B$8*(B26*B$9+C26*B$10+D26*B$11+E26*B$12),=B$13/100*F26,=(B$14+B$15)*B$4,=G26+H26+I26,=F26-J26,"=IF(F26=0,"""",K26/F26)"
Big 100 Pro + 20 Plat,0,0,100,20,=B$5*C27+B$6*D27+B$7*E27,=B$8*(B27*B$9+C27*B$10+D27*B$11+E27*B$12),=B$13/100*F27,=(B$14+B$15)*B$4,=G27+H27+I27,=F27-J27,"=IF(F27=0,"""",K27/F27)"
,,
หมายเหตุ Margin = กำไร/รายได้ (จัด format เป็น % ใน Sheets),,
Infra คงที่ = (Vercel+Supabase) x เรต = ~฿1575/เดือน ไม่ขึ้นกับจำนวน user,,
